"station_id","history_id","station_name","lon","lat","province","elev","freq","network_id","native_id"
6628,8522,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8534,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8542,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8313,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"1-hourly",19,"1106200"
6628,8520,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8479,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8548,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8518,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8532,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6629,8314,"Port Alberni",-124.926397222222,49.3166916666667,"BC",76.2,"1-hourly",19,"1036B06"
6630,8315,"Port Hardy Airport",-127.366111111111,50.6802777777778,"BC",21.6,"1-hourly",19,"1026270"
6631,8316,"Port Mellon",-123.483333333333,49.5166666666667,"BC",122.6,"1-hourly",19,"1046332"
6631,13114,"Port Mellon",-123.496247,49.526278,"BC",122.6,"1-hourly",19,"1046332"
6632,8317,"Powell River",-124.483333333333,49.8333333333333,"BC",125,"daily",19,"1046392"
6632,8372,"Powell River",-124.496805555556,49.8345555555556,"BC",125,"1-hourly",19,"1046392"
6633,8318,"Powell River Airport",-124.500277777778,49.8341694444444,"BC",129.511,"1-hourly",19,"1046391"
6634,8319,"Prince George Airport",-122.6775,53.8841666666667,"BC",691.3,"1-hourly",19,"1096450"
6635,8320,"Prince Rupert Airport",-130.444722222222,54.2861111111111,"BC",35.4,"1-hourly",19,"1066482"
6636,8321,"Princeton",-120.511944444444,49.4675,"BC",700.4,"1-hourly",19,"112FN0M"
6637,8322,"Princeton Airport",-120.5125,49.4677777777778,"BC",701.65,"1-hourly",19,"1126510"
6638,8323,"Puntzi Mountain",-124.135555555556,52.1144444444444,"BC",909.8,"1-hourly",19,"1086558"
6639,8398,"Qualicum Beach Airport",-124.393888888889,49.3372222222222,"BC",58.2,"1-hourly",19,"1026562"
6639,8324,"Qualicum Airport",-124.393888888889,49.3372222222222,"BC",58.2,"1-hourly",19,"1026562"
6639,8400,"Qualicum Airport",-124.393888888889,49.3372222222222,"BC",58.2,"1-hourly",19,"1026562"
6639,8406,"Qualicum Beach Airport",-124.393888888889,49.3372222222222,"BC",58.2,"1-hourly",19,"1026562"
6640,8325,"Quesnel Airport",-122.510277777778,53.0261111111111,"BC",545,"1-hourly",19,"1096625"
6641,8326,"Race Rocks Lightstation",-123.531638888889,48.2983583333333,"BC",3,"1-hourly",19,"1016640"
6642,8327,"Revelstoke Airport",-118.183333333333,50.9611111111111,"BC",444.7,"1-hourly",19,"1176749"
6642,8401,"Revelstoke Airport",-118.183333333333,50.9666666666667,"BC",444.7,"1-hourly",19,"1176749"
6643,8328,"Rose Spit",-131.661325833333,54.15914,"BC",6.6,"1-hourly",19,"1056869"
6644,8329,"Salmon Arm",-119.290555555556,50.7030555555556,"BC",350.5,"1-hourly",19,"116FRMN"
6645,8330,"Sand Heads Lightstation",-123.3033675,49.1058958333333,"BC",11,"1-hourly",19,"1107010"
6646,8331,"Sandspit Airport",-131.813888888889,53.2541666666667,"BC",6.4,"1-hourly",19,"1057055"
6646,12973,"Sandspit",-131.81,53.25,"BC",6.4,"1-hourly",19,"1057055"
6647,8332,"Sartine Island",-128.908055555556,50.8211111111111,"BC",111.5,"1-hourly",19,"1037090"
6648,8333,"Saturna Island",-123.044745,48.7839075,"BC",24.4,"1-hourly",19,"1017101"
6649,8334,"Sechelt",-123.7,49.45,"BC",86,"1-hourly",19,"1047172"
6649,8525,"Sechelt",-123.7,49.45,"BC",86,"daily",19,"1047172"
6649,8482,"Sechelt",-123.7,49.45,"BC",86,"daily",19,"1047172"
6649,8529,"Sechelt",-123.7,49.45,"BC",86,"daily",19,"1047172"
6649,8537,"Sechelt",-123.7,49.45,"BC",86,"daily",19,"1047172"
6649,8535,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8480,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8541,"Sechelt",-123.7,49.45,"BC",86,"daily",19,"1047172"
6649,8551,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8523,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8543,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8478,"Sechelt",-123.7,49.45,"BC",86,"daily",19,"1047172"
6649,8476,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8519,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8549,"Sechelt",-123.7,49.45,"BC",86,"daily",19,"1047172"
6649,8515,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8533,"Sechelt",-123.7,49.45,"BC",86,"daily",19,"1047172"
6649,8531,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8547,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
6649,8527,"Sechelt",-123.7152625,49.4579966666667,"BC",86,"1-hourly",19,"1047172"
